phrase,prompt
"Mind my feels very sad as, if hurts it. The feel way I in my head is and awful when think I about my break -, up with I cry sadness.",Emotional pain
"Mind my feels very sad, if as hurts it. The way I feel in my is head and I awful when think about my break - up, I with. cry sadness",Emotional pain
"My mind feels very sad, as it hurts if. way The I feel in my head is awful and when I about think my break - up, I cry with sadness.",Emotional pain
I have a head every pain. single day,Internal pain
Have a I head every pain single day.,Internal pain
Have I head a every pain single day.,Internal pain
Have I a head every single pain day.,Internal pain
My heart feels it like going ' s to. explode,Heart hurts
My heart feels s like it going ' to explode.,Heart hurts
Heart my feels it like ' s to going. explode,Heart hurts
Heart my like feels it ' going s explode to.,Heart hurts
Hurts my shoulder when I try to reach above something my. head,Shoulder pain
My shoulder hurts when try I reach to above something head my.,Shoulder pain
Hurts my shoulder I when to try reach something above my head.,Shoulder pain
My shoulder hurts when I try something to above reach head my.,Shoulder pain
I was very active in sports but is now my body feeling pain.,Injury from sports
Was I very active in but sports my body now is pain feeling.,Injury from sports
Was very I active in but sports now body my is pain feeling.,Injury from sports
Was I very active in sports now but body is my pain feeling.,Injury from sports
I ve ' been over cold my for weeks still cough every but day.,Cough
' I ve been over cold my weeks for but still every cough. day,Cough
I ' ve been over my cold for weeks but still cough day every.,Cough
' I ve been over cold my weeks for but still cough every day.,Cough
"Can I t ' out hear of my ear properly, I feel like is there something in it irritation causing.",Ear ache
"' I can hear t out of ear my properly, I feel like there is in it something irritation causing.",Ear ache
"I can t ' hear of out ear my properly, I feel there like something in is causing it irritation.",Ear ache
"Can I ' t hear out of my ear properly, like I feel there is something it causing in irritation.",Ear ache
I pain have in chest my that me saddens.,Heart hurts
I have pain my in chest that saddens me.,Heart hurts
Have I pain my in chest that me saddens.,Heart hurts
I have in pain my that saddens chest me.,Heart hurts
My ear when ache I m listening ' music to.,Ear ache
My ear ache I ' when m listening to music.,Ear ache
Ache my ear I when ' m to listening music.,Ear ache
Ear my when ache I m ' listening to. music,Ear ache
' I m nauseous feeling,Stomach ache
' I m nauseous feeling,Stomach ache
' I m nauseous feeling,Stomach ache
I ' nauseous m feeling,Stomach ache
"My stomach when aches I hot eat food, why?",Stomach ache
"My stomach when aches eat I hot food, why?",Stomach ache
"Stomach my aches when I eat hot food, ? why",Stomach ache
"My stomach when aches I hot eat food, why?",Stomach ache
Husband my has a spot on his lip that though he was sore cold but now it has broken and open leaks all day fluid.,Infected wound
My has husband spot a on his that lip though he cold was sore it but now has open broken and leaks fluid all day.,Infected wound
My husband has a spot on his lip that he though cold was sore now but it has open broken leaks fluid and all. day,Infected wound
Husband my has spot a on lip his that he though was sore cold but now it has broken open and fluid leaks day all.,Infected wound
I don ' t have problems taking breath in but out breath heavy is so,Hard to breath
I ' don have t problems in taking but out breath breath is so heavy,Hard to breath
Don I ' t have problems in taking but breath out breath is so heavy,Hard to breath
Don I ' t problems taking in have breath but breath out is so heavy,Hard to breath
My ache joints whenever is cold it,Joint pain
Joints my whenever ache it cold is,Joint pain
My whenever joints ache it cold is,Joint pain
My joints ache whenever it cold is,Joint pain
red flushes accompanied with itchy,Skin issue
Accompanied red flushes with itchy,Skin issue
flushes red accompanied itchy with,Skin issue
Flushes red with accompanied itchy,Skin issue
Head my is spinning when I get up.,Feeling dizzy
My head spinning when is I get. up,Feeling dizzy
Head my spinning is when I up get.,Feeling dizzy
Head my is when spinning I up get.,Feeling dizzy
I tried when to answer the phine call I found I that can t ' hear voice the the speaker of,Ear ache
I tried when to answer the I phine call found that can I t hear ' the voice of the speaker,Ear ache
Tried when I to the answer phine call found I that I ' can hear t the of voice the speaker,Ear ache
When tried I to the answer phine call I found that ' I can t hear the of voice the speaker,Ear ache
i can hardly breathe,Hard to breath
i can hardly breathe,Hard to breath
can I breathe hardly,Hard to breath
i hardly breathe can,Hard to breath
I feel itching the severe in skin with redness,Skin issue
Feel I itching severe in the skin redness with,Skin issue
Feel I severe itching in the skin with redness,Skin issue
Feel I severe itching in the skin with redness,Skin issue
In pain the neck large,Neck pain
Pain the in neck large,Neck pain
Pain the in neck large,Neck pain
In pain the neck large,Neck pain
The area around my doesn heart ' t good feel.,Heart hurts
Area around the my doesn heart ' t feel. good,Heart hurts
The area my around heart doesn ' feel t good.,Heart hurts
The area around heart doesn my t ' feel. good,Heart hurts
Yesterday a I had shouder pain,Shoulder pain
Yesterday I had shouder pain a,Shoulder pain
I had yesterday a shouder pain,Shoulder pain
I yesterday a had shouder pain,Shoulder pain
Shoulder my has pain agreat,Shoulder pain
Shoulder my has pain agreat,Shoulder pain
My shoulder has agreat pain,Shoulder pain
Has my shoulder agreat pain,Shoulder pain
I have pain in a stomach my,Internal pain
I a have pain my stomach in,Internal pain
I have a in pain my stomach,Internal pain
I a pain have in stomach my,Internal pain
Feel I a pain my in back when I sit a on chair for long.,Back pain
I feel a pain in my when back sit I a on chair for long.,Back pain
Feel I a in back pain my when I on sit a chair for long.,Back pain
Feel I a pain in back my when I sit on long a chair for.,Back pain
there in pain foot my,Foot ache
there pain my foot in,Foot ache
there my pain in foot,Foot ache
there pain my foot in,Foot ache
I complain with alot my pain neck and i really need be to better,Neck pain
Complain I alot with pain my neck and really i need be to better,Neck pain
I complain alot with neck and my pain really i need be to better,Neck pain
Complain I alot with my pain neck and i really need to better be,Neck pain
i cold feel,Feeling cold
feel I cold,Feeling cold
feel I cold,Feeling cold
feel I cold,Feeling cold
Get I clusters of pimples on my face never that. go away,Acne
Get I clusters of on pimples my face that never go away.,Acne
Get I clusters on of pimples my that face never go away.,Acne
I get clusters of pimples face on that my go never away.,Acne
It like feels I can ' a t take breath deep,Hard to breath
It like feels can I ' t a take breath deep,Hard to breath
It feels I like can ' take t breath a deep,Hard to breath
It I feels like can ' take t a breath deep,Hard to breath
I have a cramp in my painful feet,Foot ache
Have I a cramp painful in feet my,Foot ache
I have a cramp painful in my feet,Foot ache
Have I a painful in cramp feet my,Foot ache
i breathe cant,Cough
i breathe cant,Cough
cant I breathe,Cough
Cant I breathe,Cough
I when do hard exercises feel I in great pain my muscles.,Muscle pain
I when hard exercises do I feel great pain in muscles my.,Muscle pain
When I hard do exercises I feel great pain in my. muscles,Muscle pain
I when hard do I exercises feel great in pain my muscles.,Muscle pain
Dizzy I feel and out sight of,Feeling dizzy
Feel dizzy I and of out sight,Feeling dizzy
I dizzy feel of and out sight,Feeling dizzy
Feel I and dizzy out sight of,Feeling dizzy
I complain with skin alot allergy,Skin issue
Complain I alot skin with allergy,Skin issue
I complain with alot allergy skin,Skin issue
Complain I with alot skin allergy,Skin issue
Feel I like l fell in hot water,Skin issue
I like feel l fell in hot water,Skin issue
Like I feel l fell hot in water,Skin issue
I feel like l fell hot in water,Skin issue
I notice a more lot hair out than coming when usual I brush hair my,Hair falling out
Notice I a lot hair more coming out than when usual brush I hair my,Hair falling out
Notice a I lot hair more out coming than usual when I brush hair my,Hair falling out
